weaponid,r1,r2,r3,r4,r5
11,"After defeating an enemy, ATK is increased by 12 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 15 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 18 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 21 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
12,"After defeating an enemy, ATK is increased by 12 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 15 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 18 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 21 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
13,"After defeating an enemy, ATK is increased by 12 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 15 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 18 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 21 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
14,"After defeating an enemy, ATK is increased by 12 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 15 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 18 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 21 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
15,"Increases DMG against enemies affected by Pyro or Electro by 12/15/18/21/24%.","Increases DMG against enemies affected by Pyro or Electro by 12/15/18/21/24%.","Increases DMG against enemies affected by Pyro or Electro by 12/15/18/21/24%.","Increases DMG against enemies affected by Pyro or Electro by 12/15/18/21/24%.","Increases DMG against enemies affected by Pyro or Electro by 12/15/18/21/24%."
16,"Gain 12 All Elemental DMG Bonus. Obtain Consummation for 20s after using an Elemental Skill, causing ATK to increase by 3.2 per second. This ATK increase has a maximum of 6 stacks. When the character equipped with this weapon is not on the field, Consummation's ATK increase is doubled.","Gain 15 All Elemental DMG Bonus. Obtain Consummation for 20s after using an Elemental Skill, causing ATK to increase by 4 per second. This ATK increase has a maximum of 6 stacks. When the character equipped with this weapon is not on the field, Consummation's ATK increase is doubled.","Gain 18 All Elemental DMG Bonus. Obtain Consummation for 20s after using an Elemental Skill, causing ATK to increase by 4.8 per second. This ATK increase has a maximum of 6 stacks. When the character equipped with this weapon is not on the field, Consummation's ATK increase is doubled.","Gain 21 All Elemental DMG Bonus. Obtain Consummation for 20s after using an Elemental Skill, causing ATK to increase by 5.6 per second. This ATK increase has a maximum of 6 stacks. When the character equipped with this weapon is not on the field, Consummation's ATK increase is doubled.","Gain 24% All Elemental DMG Bonus. Obtain Consummation for 20s after using an Elemental Skill, causing ATK to increase by 6.4% per second. This ATK increase has a maximum of 6 stacks. When the character equipped with this weapon is not on the field, Consummation's ATK increase is doubled."
17,"Elemental Skill DMG is increased by 40 of DEF. The effect will be triggered no more than once every 1.5s and will be cleared 0.1s after the Elemental Skill deals DMG.","Elemental Skill DMG is increased by 50 of DEF. The effect will be triggered no more than once every 1.5s and will be cleared 0.1s after the Elemental Skill deals DMG.","Elemental Skill DMG is increased by 60 of DEF. The effect will be triggered no more than once every 1.5s and will be cleared 0.1s after the Elemental Skill deals DMG.","Elemental Skill DMG is increased by 70 of DEF. The effect will be triggered no more than once every 1.5s and will be cleared 0.1s after the Elemental Skill deals DMG.","Elemental Skill DMG is increased by 80% of DEF. The effect will be triggered no more than once every 1.5s and will be cleared 0.1s after the Elemental Skill deals DMG."
18,"Normal Attack and Aimed Shot hits increase ATK by 4 and Normal Attack SPD by 1.2 for 6s. Max 4 stacks. Can only occur once every 0.3s.","Normal Attack and Aimed Shot hits increase ATK by 5 and Normal Attack SPD by 1.5 for 6s. Max 4 stacks. Can only occur once every 0.3s.","Normal Attack and Aimed Shot hits increase ATK by 6 and Normal Attack SPD by 1.8 for 6s. Max 4 stacks. Can only occur once every 0.3s.","Normal Attack and Aimed Shot hits increase ATK by 7 and Normal Attack SPD by 2.1 for 6s. Max 4 stacks. Can only occur once every 0.3s.","Normal Attack and Aimed Shot hits increase ATK by 8% and Normal Attack SPD by 2.4% for 6s. Max 4 stacks. Can only occur once every 0.3s."
19,"Increases DMG against enemies affected by Hydro or Cryo by 12/15/18/21/24%.","Increases DMG against enemies affected by Hydro or Cryo by 12/15/18/21/24%.","Increases DMG against enemies affected by Hydro or Cryo by 12/15/18/21/24%.","Increases DMG against enemies affected by Hydro or Cryo by 12/15/18/21/24%.","Increases DMG against enemies affected by Hydro or Cryo by 12/15/18/21/24%."
20,"After picking up an Elemental Orb/Particle, Normal and Charged Attacks deal an additional 20% ATK as DMG for 5s.","After picking up an Elemental Orb/Particle, Normal and Charged Attacks deal an additional 20% ATK as DMG for 5s.","After picking up an Elemental Orb/Particle, Normal and Charged Attacks deal an additional 20% ATK as DMG for 5s.","After picking up an Elemental Orb/Particle, Normal and Charged Attacks deal an additional 20% ATK as DMG for 5s.","After picking up an Elemental Orb/Particle, Normal and Charged Attacks deal an additional 20% ATK as DMG for 5s."
21,"Upon causing an Overloaded, Superconduct, Electro-Charged, or an Electro-infused Swirl reaction, increases Base ATK by 20 for 12s.","Upon causing an Overloaded, Superconduct, Electro-Charged, or an Electro-infused Swirl reaction, increases Base ATK by 25 for 12s.","Upon causing an Overloaded, Superconduct, Electro-Charged, or an Electro-infused Swirl reaction, increases Base ATK by 30 for 12s.","Upon causing an Overloaded, Superconduct, Electro-Charged, or an Electro-infused Swirl reaction, increases Base ATK by 35 for 12s.","Upon causing an Overloaded, Superconduct, Electro-Charged, or an Electro-infused Swirl reaction, increases Base ATK by 40% for 12s."
22,"If there are at least 2 opponents nearby, ATK is increased by 16% and DEF is increased by 16%. If there are less than 2 enemies nearby, ATK is increased by 24%.","If there are at least 2 opponents nearby, ATK is increased by 16% and DEF is increased by 16%. If there are less than 2 enemies nearby, ATK is increased by 24%.","If there are at least 2 opponents nearby, ATK is increased by 16% and DEF is increased by 16%. If there are less than 2 enemies nearby, ATK is increased by 24%.","If there are at least 2 opponents nearby, ATK is increased by 16% and DEF is increased by 16%. If there are less than 2 enemies nearby, ATK is increased by 24%.","If there are at least 2 opponents nearby, ATK is increased by 16% and DEF is increased by 16%. If there are less than 2 enemies nearby, ATK is increased by 24%."
23,"After using an Elemental Skill, Normal or Charged Attacks, on hit, deal an additional 60 ATK DMG in a small area. Effect lasts 15s. DMG can only occur once every 3s.","After using an Elemental Skill, Normal or Charged Attacks, on hit, deal an additional 75 ATK DMG in a small area. Effect lasts 15s. DMG can only occur once every 3s.","After using an Elemental Skill, Normal or Charged Attacks, on hit, deal an additional 90 ATK DMG in a small area. Effect lasts 15s. DMG can only occur once every 3s.","After using an Elemental Skill, Normal or Charged Attacks, on hit, deal an additional 105 ATK DMG in a small area. Effect lasts 15s. DMG can only occur once every 3s.","After using an Elemental Skill, Normal or Charged Attacks, on hit, deal an additional 120% ATK DMG in a small area. Effect lasts 15s. DMG can only occur once every 3s."
24,"Normal Attack hits on opponents increase Charged Attack DMG by 16 for 6s. Charged Attack hits on opponents increase ATK by 8 for 6s.","Normal Attack hits on opponents increase Charged Attack DMG by 20 for 6s. Charged Attack hits on opponents increase ATK by 10 for 6s.","Normal Attack hits on opponents increase Charged Attack DMG by 24 for 6s. Charged Attack hits on opponents increase ATK by 12 for 6s.","Normal Attack hits on opponents increase Charged Attack DMG by 28 for 6s. Charged Attack hits on opponents increase ATK by 14 for 6s.","Normal Attack hits on opponents increase Charged Attack DMG by 32% for 6s. Charged Attack hits on opponents increase ATK by 16% for 6s."
25,"Increases DMG against enemies affected by Hydro or Pyro by 20/24/28/32/36%.","Increases DMG against enemies affected by Hydro or Pyro by 20/24/28/32/36%.","Increases DMG against enemies affected by Hydro or Pyro by 20/24/28/32/36%.","Increases DMG against enemies affected by Hydro or Pyro by 20/24/28/32/36%.","Increases DMG against enemies affected by Hydro or Pyro by 20/24/28/32/36%."
26,"Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s.","Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s.","Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s.","Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s.","Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s."
27,,,,,
28,"Increases DMG against mechanoid Ruin enemies by 40/50/60/70/80%.","Increases DMG against mechanoid Ruin enemies by 40/50/60/70/80%.","Increases DMG against mechanoid Ruin enemies by 40/50/60/70/80%.","Increases DMG against mechanoid Ruin enemies by 40/50/60/70/80%.","Increases DMG against mechanoid Ruin enemies by 40/50/60/70/80%."
29,"A part of the 'Millennial Movement' that wanders amidst the winds. Increases Elemental Mastery by 60. When the Elemental Skills or Elemental Bursts of the character wielding this weapon hit opponents, that character gains a Sigil of Remembrance. This effect can be triggered once every 0.2s and can be triggered even if said character is not on the field. When you possess 4 Sigils of Remembrance, all of them will be consumed and all nearby party members will obtain the 'Millennial Movement: Farewell Song' effect for 12s. 'Millennial Movement: Farewell Song' increases Elemental Mastery by 100 and increases ATK by 20%. Once this effect is triggered, you will not gain Sigils of Remembrance for 20s. Of the many effects of the 'Millennial Movement,' buffs of the same type will not stack.","A part of the 'Millennial Movement' that wanders amidst the winds. Increases Elemental Mastery by 60. When the Elemental Skills or Elemental Bursts of the character wielding this weapon hit opponents, that character gains a Sigil of Remembrance. This effect can be triggered once every 0.2s and can be triggered even if said character is not on the field. When you possess 4 Sigils of Remembrance, all of them will be consumed and all nearby party members will obtain the 'Millennial Movement: Farewell Song' effect for 12s. 'Millennial Movement: Farewell Song' increases Elemental Mastery by 100 and increases ATK by 20%. Once this effect is triggered, you will not gain Sigils of Remembrance for 20s. Of the many effects of the 'Millennial Movement,' buffs of the same type will not stack.","A part of the 'Millennial Movement' that wanders amidst the winds. Increases Elemental Mastery by 60. When the Elemental Skills or Elemental Bursts of the character wielding this weapon hit opponents, that character gains a Sigil of Remembrance. This effect can be triggered once every 0.2s and can be triggered even if said character is not on the field. When you possess 4 Sigils of Remembrance, all of them will be consumed and all nearby party members will obtain the 'Millennial Movement: Farewell Song' effect for 12s. 'Millennial Movement: Farewell Song' increases Elemental Mastery by 100 and increases ATK by 20%. Once this effect is triggered, you will not gain Sigils of Remembrance for 20s. Of the many effects of the 'Millennial Movement,' buffs of the same type will not stack.","A part of the 'Millennial Movement' that wanders amidst the winds. Increases Elemental Mastery by 60. When the Elemental Skills or Elemental Bursts of the character wielding this weapon hit opponents, that character gains a Sigil of Remembrance. This effect can be triggered once every 0.2s and can be triggered even if said character is not on the field. When you possess 4 Sigils of Remembrance, all of them will be consumed and all nearby party members will obtain the 'Millennial Movement: Farewell Song' effect for 12s. 'Millennial Movement: Farewell Song' increases Elemental Mastery by 100 and increases ATK by 20%. Once this effect is triggered, you will not gain Sigils of Remembrance for 20s. Of the many effects of the 'Millennial Movement,' buffs of the same type will not stack.","A part of the 'Millennial Movement' that wanders amidst the winds. Increases Elemental Mastery by 60. When the Elemental Skills or Elemental Bursts of the character wielding this weapon hit opponents, that character gains a Sigil of Remembrance. This effect can be triggered once every 0.2s and can be triggered even if said character is not on the field. When you possess 4 Sigils of Remembrance, all of them will be consumed and all nearby party members will obtain the 'Millennial Movement: Farewell Song' effect for 12s. 'Millennial Movement: Farewell Song' increases Elemental Mastery by 100 and increases ATK by 20%. Once this effect is triggered, you will not gain Sigils of Remembrance for 20s. Of the many effects of the 'Millennial Movement,' buffs of the same type will not stack."
30,"Upon causing a Vaporize, Electro-Charged, Frozen, or a Hydro-infused Swirl reaction, increases Base ATK by 20 for 12s.","Upon causing a Vaporize, Electro-Charged, Frozen, or a Hydro-infused Swirl reaction, increases Base ATK by 25 for 12s.","Upon causing a Vaporize, Electro-Charged, Frozen, or a Hydro-infused Swirl reaction, increases Base ATK by 30 for 12s.","Upon causing a Vaporize, Electro-Charged, Frozen, or a Hydro-infused Swirl reaction, increases Base ATK by 35 for 12s.","Upon causing a Vaporize, Electro-Charged, Frozen, or a Hydro-infused Swirl reaction, increases Base ATK by 40% for 12s."
31,"ATK increased by 28 of Energy Recharge over the base 100%. You can gain a maximum bonus of 80 ATK. Gain 30 Energy Recharge for 12s after using an Elemental Burst.","ATK increased by 35 of Energy Recharge over the base 100%. You can gain a maximum bonus of 90 ATK. Gain 35 Energy Recharge for 12s after using an Elemental Burst.","ATK increased by 42 of Energy Recharge over the base 100%. You can gain a maximum bonus of 100 ATK. Gain 40 Energy Recharge for 12s after using an Elemental Burst.","ATK increased by 49 of Energy Recharge over the base 100%. You can gain a maximum bonus of 110 ATK. Gain 45 Energy Recharge for 12s after using an Elemental Burst.","ATK increased by 56% of Energy Recharge over the base 100%. You can gain a maximum bonus of 120% ATK. Gain 50% Energy Recharge for 12s after using an Elemental Burst."
32,"Healing Bonus increased by 10 Normal Attack DMG is increased by 1.0 of the Max HP of the character equipping this weapon. For 12s after using an Elemental Burst, Normal Attacks that hit opponents will restore 0.6 Energy. Energy can be restored this way once every 0.1s.","Healing Bonus increased by 12.5 Normal Attack DMG is increased by 1.25 of the Max HP of the character equipping this weapon. For 12s after using an Elemental Burst, Normal Attacks that hit opponents will restore 0.6 Energy. Energy can be restored this way once every 0.1s.","Healing Bonus increased by 15 Normal Attack DMG is increased by 1.5 of the Max HP of the character equipping this weapon. For 12s after using an Elemental Burst, Normal Attacks that hit opponents will restore 0.6 Energy. Energy can be restored this way once every 0.1s.","Healing Bonus increased by 17.5 Normal Attack DMG is increased by 1.75 of the Max HP of the character equipping this weapon. For 12s after using an Elemental Burst, Normal Attacks that hit opponents will restore 0.6 Energy. Energy can be restored this way once every 0.1s.","Healing Bonus increased by 20%, Normal Attack DMG is increased by 2.0% of the Max HP of the character equipping this weapon. For 12s after using an Elemental Burst, Normal Attacks that hit opponents will restore 0.6 Energy. Energy can be restored this way once every 0.1s."
33,"Normal and Charged Attacks have a 50% chance to fire a Bolt of Perception, dealing 240 ATK as DMG. This bolt can bounce between enemies a maximum of 4 times. This effect can occur once every 12/11/10/9/8s.","Normal and Charged Attacks have a 50% chance to fire a Bolt of Perception, dealing 270 ATK as DMG. This bolt can bounce between enemies a maximum of 4 times. This effect can occur once every 12/11/10/9/8s.","Normal and Charged Attacks have a 50% chance to fire a Bolt of Perception, dealing 300 ATK as DMG. This bolt can bounce between enemies a maximum of 4 times. This effect can occur once every 12/11/10/9/8s.","Normal and Charged Attacks have a 50% chance to fire a Bolt of Perception, dealing 330 ATK as DMG. This bolt can bounce between enemies a maximum of 4 times. This effect can occur once every 12/11/10/9/8s.","Normal and Charged Attacks have a 50% chance to fire a Bolt of Perception, dealing 360% ATK as DMG. This bolt can bounce between enemies a maximum of 4 times. This effect can occur once every 12/11/10/9/8s."
34,"CRIT hits have a 60 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 70 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 80 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 90 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 100% chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s."
35,"CRIT hits have a 60 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 70 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 80 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 90 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 100% chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s."
36,"CRIT hits have a 60 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 70 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 80 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 90 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 100% chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s."
37,"CRIT hits have a 60 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 70 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 80 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 90 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 100% chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s."
38,"CRIT hits have a 60 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 70 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 80 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 90 chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s.","CRIT hits have a 100% chance to generate 1 Elemental Orb, which will regenerate 6 Energy for the character. Can only occur once every 12/10.5/9/7.5/6s."
39,"When HP falls below 70 increases Charged Attack DMG by 30 and Charged Attacks become much harder to interrupt.","When HP falls below 75 increases Charged Attack DMG by 35 and Charged Attacks become much harder to interrupt.","When HP falls below 80 increases Charged Attack DMG by 40 and Charged Attacks become much harder to interrupt.","When HP falls below 85 increases Charged Attack DMG by 45 and Charged Attacks become much harder to interrupt.","When HP falls below 90%, increases Charged Attack DMG by 50%, and Charged Attacks become much harder to interrupt."
40,"Increases Elemental Skill DMG by 16 and Elemental Skill CRIT Rate by 6/7.5/9/10.5/12%.","Increases Elemental Skill DMG by 20 and Elemental Skill CRIT Rate by 6/7.5/9/10.5/12%.","Increases Elemental Skill DMG by 24 and Elemental Skill CRIT Rate by 6/7.5/9/10.5/12%.","Increases Elemental Skill DMG by 28 and Elemental Skill CRIT Rate by 6/7.5/9/10.5/12%.","Increases Elemental Skill DMG by 32% and Elemental Skill CRIT Rate by 6/7.5/9/10.5/12%."
41,"On hit, has 50% chance to deal 240 ATK DMG to a single enemy. Can only occur once every 15/14/13/12/11s.","On hit, has 50% chance to deal 280 ATK DMG to a single enemy. Can only occur once every 15/14/13/12/11s.","On hit, has 50% chance to deal 320 ATK DMG to a single enemy. Can only occur once every 15/14/13/12/11s.","On hit, has 50% chance to deal 360 ATK DMG to a single enemy. Can only occur once every 15/14/13/12/11s.","On hit, has 50% chance to deal 400% ATK DMG to a single enemy. Can only occur once every 15/14/13/12/11s."
42,"A part of the \","A part of the \","A part of the \","A part of the \","A part of the \"
